term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-05-24,1,G401,vinhdk,736,1,GBC0902,,,,,0
SU22,2022-05-24,2,G401,vinhdk,736,2,GBC0902,,,,,0
SU22,2022-05-26,1,G401,vinhdk,736,3,GBC0902,,,,,0
SU22,2022-05-26,2,G401,vinhdk,736,4,GBC0902,,,,,0
SU22,2022-05-28,1,G401,vinhdk,736,5,GBC0902,,,,,0
SU22,2022-05-28,2,G401,vinhdk,736,6,GBC0902,,,,,0
SU22,2022-05-31,1,G401,vinhdk,736,7,GBC0902,,,,,0
SU22,2022-05-31,2,G401,vinhdk,736,8,GBC0902,,,,,0
SU22,2022-06-02,1,G401,vinhdk,736,9,GBC0902,,,,,0
SU22,2022-06-02,2,G401,vinhdk,736,10,GBC0902,,,,,0
SU22,2022-06-04,1,G401,vinhdk,736,11,GBC0902,,,,,0
SU22,2022-06-04,2,G401,vinhdk,736,12,GBC0902,,,,,0
SU22,2022-06-07,1,G401,vinhdk,736,13,GBC0902,,,,,0
SU22,2022-06-07,2,G401,vinhdk,736,14,GBC0902,,,,,0
SU22,2022-06-09,1,G401,vinhdk,736,15,GBC0902,,,,,0
SU22,2022-06-09,2,G401,vinhdk,736,16,GBC0902,,,,,0
SU22,2022-06-11,1,G401,vinhdk,736,17,GBC0902,,,,,0
SU22,2022-06-11,2,G401,vinhdk,736,18,GBC0902,,,,,0
SU22,2022-06-14,1,G401,vinhdk,736,19,GBC0902,,,,,0
SU22,2022-06-14,2,G401,vinhdk,736,20,GBC0902,,,,,0
SU22,2022-06-16,1,G401,vinhdk,736,21,GBC0902,,,,,0
SU22,2022-06-16,2,G401,vinhdk,736,22,GBC0902,,,,,0
SU22,2022-06-18,1,G401,vinhdk,736,23,GBC0902,,,,,0
SU22,2022-06-18,2,G401,vinhdk,736,24,GBC0902,,,,,0
SU22,2022-06-21,1,G401,vinhdk,736,25,GBC0902,,,,,0
SU22,2022-06-21,2,G401,vinhdk,736,26,GBC0902,,,,,0
SU22,2022-06-23,1,G401,vinhdk,736,27,GBC0902,,,,,0
SU22,2022-06-23,2,G401,vinhdk,736,28,GBC0902,,,,,0
SU22,2022-06-25,1,G401,vinhdk,736,29,GBC0902,,,,,0
SU22,2022-06-25,2,G401,vinhdk,736,30,GBC0902,,,,,0
SU22,2022-06-28,1,G401,vinhdk,736,31,GBC0902,,,,,0
SU22,2022-06-28,2,G401,vinhdk,736,32,GBC0902,,,,,0
SU22,2022-06-30,1,G401,vinhdk,736,33,GBC0902,,,,,0
SU22,2022-06-30,2,G401,vinhdk,736,34,GBC0902,,,,,0
SU22,2022-07-02,1,G401,vinhdk,736,35,GBC0902,,,,,0
SU22,2022-07-02,2,G401,vinhdk,736,36,GBC0902,,,,,0
SU22,2022-07-12,1,G401,vinhdk,736,37,GBC0902,,,,,0
SU22,2022-07-12,2,G401,vinhdk,736,38,GBC0902,,,,,0
SU22,2022-07-14,1,G401,vinhdk,736,39,GBC0902,,,,,0
SU22,2022-07-14,2,G401,vinhdk,736,40,GBC0902,,,,,0
SU22,2022-05-23,4,G511,huynq121,491,1,GBC0903,,,,,0
SU22,2022-05-23,5,G511,huynq121,491,2,GBC0903,,,,,0
SU22,2022-05-25,4,G511,huynq121,491,3,GBC0903,,,,,0
SU22,2022-05-25,5,G511,huynq121,491,4,GBC0903,,,,,0
SU22,2022-05-27,4,G511,huynq121,491,5,GBC0903,,,,,0
SU22,2022-05-27,5,G511,huynq121,491,6,GBC0903,,,,,0
SU22,2022-05-30,4,G511,huynq121,491,7,GBC0903,,,,,0
SU22,2022-05-30,5,G511,huynq121,491,8,GBC0903,,,,,0
SU22,2022-06-01,4,G511,huynq121,491,9,GBC0903,,,,,0
SU22,2022-06-01,5,G511,huynq121,491,10,GBC0903,,,,,0
SU22,2022-06-03,4,G511,huynq121,491,11,GBC0903,,,,,0
SU22,2022-06-03,5,G511,huynq121,491,12,GBC0903,,,,,0
SU22,2022-06-06,4,G511,huynq121,491,13,GBC0903,,,,,0
